OriginalStatements,SimplifiedStatements
"Works in English, however, often required the elimination of nuance or colloquialism, the adoption of a formal tone, and the adjustment of themes or ideas to satisfy the different demands of national publications.",Writers often remove tiny bits and easy words. They use tricky language. They switch topics and thoughts. They do this to make English book companies happy.
"Researchers reasoned that low-frequency sound waves, because they are so well described mathematically and because even small perturbations in emitted sound waves can be detected, could be transmitted through the ocean over many different paths and that the properties of the ocean's interior could be deduced on the basis of how the ocean altered the signals.",Researchers wanted to make deep sounds travel through the sea. These sounds use simple number patterns. Folks can notice tiny differences in these sounds. The researchers aimed to learn about the sea floor by looking at how the sounds changed.
"In medical tomography x-rays map the human body's density variations (and hence internal organs); the information from the x-rays, transmitted through the body along many different paths, is recombined to form three-dimensional images of the body's interior.","Medical experts use a special picture-taking device to look into your body. They can check out your breathing organs and heart. This device shines a special kind of light. It snaps photos from various directions. These photos are put together to make a picture that looks like it has depth, like real life."
"Ironically, now that photography is securely established as a fine art, many photographers find it pretentious or irrelevant to label it as such.",Taking pictures is a big deal. Lots of people who take photos don't think it's right to call it a fancy kind of art.
"Serious photographers variously claim to be finding, recording, impartially observing, witnessing events, exploring themselves-anything but making works of art.",Photographers put in a lot of effort. They search for stuff to take pictures of. They snap photos of different spots. They observe happenings without taking sides. They discover more about who they are. They don't claim to make art.
"This method of pumping heat from one place to another served mankind well when refrigerators' main jobs were preserving food and, as air conditioners, cooling buildings.",This way moves warmth. It helps food stay good in fridges. It makes rooms chilly with cool-air blowers.
"They are based on a robust and effective idea--draw heat from the thing you want to cool by evaporating a liquid next to it, and then dump that heat by pumping the vapour elsewhere and condensing it.","They have a clever idea to make things less hot. The idea changes a wet substance into an airy form. This airy form soaks up the warmth. After that, the airy form is shifted and changed back into a wet substance. The warmth is let go in a different place."
One set of candidates are known as paraelectric materials.,Some items let electricity flow through them. You can pick these items to use.
"An array of tiny pieces of paraelectric material can sense the heat radiated by, for example, a person, and the pattern of the array's electrical outputs can then be used to construct an image.",Tiny parts can feel warmth from a body. They create tiny zaps of energy. These zaps make a picture.
"One consequence of Moore's Law, which describes the doubling of the number of transistors on a chip every 18 months, is that the amount of heat produced doubles as well.","Every year and a half, the tiny parts inside a computer chip double in number. This causes the chip to heat up more."
"And the idea of shifting from single-core processors to systems that divided processing power between first two, and then four, subunits, in order to spread the thermal load, also seems to have the end of the road in sight.","Computers are starting to use two or four tiny parts instead of just one. This helps to share out the warmth. But, this way of doing things is almost as far as it can go."
"The trick to a good thermoelectric material is a crystal structure in which electrons can flow freely, but the path of phonons--heat-carrying vibrations that are larger than electrons--is constantly interrupted. In practice, this trick is hard to pull off, and thermoelectric materials are thus less efficient than paraelectric ones (or, at least, than those examined by Dr Mischenko).",A stuff changes warmth into electric power. It should allow very small bits of electric energy to move without trouble. It should stop very small bits of warmth from getting through. This isn't easy. These kinds of stuff aren't the greatest for jobs that use electric power. Dr. Mischenko found out about this.
"Shy of competition, eager for artificially high prices, they are helping to block the efficient generation, transmission and distribution of energy on the continent.",They don't compete with others. They enjoy expensive things. They halt creating and spreading good vibes in Europe.
"Companies that dominate national markets have, so far, had little interest in improving the interconnections which would mean lower prices for consumers across the continent.","Stores are all over the country. They don't work on making their relationships better. If they did, people buying things all over could pay less."
"The European Commission, which on the same day presented its recommendation for improving EU energy policy, also wants to see the unbundling of ownership, the legal separation of energy suppliers and transporters, something that the integrated energy companies and interested governments, notably in France and Germany, are bound to oppose ferociously.",The people in charge in the EU suggested changes to how we handle energy. They want to separate the companies that give us energy from the ones that help move it around. This will make the big energy companies less powerful. Big energy companies and some important people in France and Germany might not like this idea.
The risk is that concerns about security of supply may be used spuriously by those in Europe who oppose the sort of liberalisation encouraged by Ms Kroes.,People in Europe don't like what Ms. Kroes is saying. They're afraid it could make it harder to get stuff.
"Protection has been tried for long enough and evidently has not worked for the internal market, nor have these companies secured the best deals for consumers from the Russians.",Stores close to us are feeling the pain because of new safety rules. These stores couldn't have low prices. The low prices were expected to be from products made in Russia.
"All that is laudable enough, but will also require political horse-trading as governments Europe's leaders are due to meet in March to discuss the various energy proposals try to avoid commitments that may hurt domestic energy companies or make European firms less competitive than rivals in America, Asia and elsewhere.",Leaders from countries in Europe will have a meeting in March. They will discuss new ways to use energy. They want to keep their energy businesses safe. They aim to make their businesses as powerful as the ones in America and Asia. They will agree on some things and give up on others to reach this goal.
"Achieving either target would mean promoting cleaner cars, a more effective emissions-trading system for Europe, wider use of public transport and a sharp increase in the use of renewable sources of energy, like wind and solar power.",Leaders should help make cars less polluting. They should improve the system that lets companies limit air pollution in Europe. They should promote riding more on buses and trains. They should boost the use of energy from the sun and the wind.
"If successful, virus therapy could eventually form a third pillar alongside radiotherapy and chemotherapy in the standard arsenal against cancer, while avoiding some of the debilitating side-effects.",Tiny bugs can help fight a serious illness. This help might use powerful light rays and healing drugs. It might make you feel less ill.
Cancer-killing viruses exploit the fact that cancer cells suppress the body's local immune system.,The viruses break down the cancer. They use a special method.
"Prof Seymour's innovative solution is to mask the virus from the body's immune system, effectively allowing the viruses to do what chemotherapy drugs do - spread through the blood and reach tumours wherever they are.",Teacher Seymour has a new idea. He aims to trick the body's protection system. The protection system won't fight the virus. The virus will move smoothly through the body. This is similar to how cancer treatments work. The virus will go after the cancer cells in the blood.
"After the stealth virus infects the tumour, it replicates, but the copies do not have the chemical modifications.",A tiny bug gets into a small raised spot. It makes a twin of itself. It continues to make more twins.
"Two viruses are likely to be examined in the first clinical trials: adenovirus, which normally causes a cold-like illness, and vaccinia, which causes cowpox and is also used in the vaccine against smallpox.",The first tests on people will likely try out two tiny germs. The adenovirus usually gives people stuffy noses and sneezes. Vaccinia is the germ that gives cows a disease with sores but it's also used to make the shot that protects against smallpox.
"For years European economies had been lagging dismally behind America (to say nothing of Asia), but in 2006 the large continental economies had one of their best years for a decade, briefly outstripping America in terms of growth.","In 2006, Europe's large economies got better. They performed better than they had in the last ten years. For some time, they expanded more quickly than the economy of the United States."
"Every four or five years, European countries take a large stride towards further integration by signing a new treaty: the Maastricht treaty in 1992, the Treaty of Amsterdam in 1997, the Treaty of Nice in 2001.","Countries in Europe decide to work together better and they make new rules to do this from time to time. In 1992, they all agreed on a set of rules called the Maastricht Rules. Then in 1997, they came up with another set called the Amsterdam Rules. By 2001, they agreed on yet another set called the Nice Rules."
"And in 2005 they were supposed to ratify a European constitution, laying the ground for yet more integration until the calm rhythm was rudely shattered by French and Dutch voters.","In 2005, there were new rules to bring European countries together. But, people in France and the Netherlands said no to these rules."
"Government leaders have already agreed to celebrate it ceremoniously, restating their commitment to 'ever closer union' and the basic ideals of European unity.",Country leaders chose to have a great party. They promised to work together better. They also showed a lot of support for Europe's plan to be more united.
But it does not take a Machiavelli to spot that once governments have signed the declaration (and it seems unlikely anyone would be so uncollegiate as to veto it) they will already be halfway towards committing themselves to a new treaty.,Governments will say yes to the deal. People think they will say it's okay. They give their word to stick to a new plan. The plan is simple to get.
"Neoclassical economics is built on the assumption that humans are rational beings who have a clear idea of their best interests and strive to extract maximum benefit (or 'utility', in economist-speak) from any situation.",People in neoclassical economics are seen as clever decision-makers. It suggests that individuals know what's best for themselves. It explains that people aim to gain the most advantage from their decisions.
"According to the German government which holds the EU's agenda-setting presidency during the first half of 2007, there will be a new draft of a slimmed-down constitution ready by the middle of the year, perhaps to put to voters, perhaps not.",Germany will be in charge of the group of European countries until the summer of 2007. They plan to create a simpler set of important rules by that time. They might let people vote to hear what they think about the new rules.
"Then, according to bureaucratic planners in Brussels and Berlin, blithely ignoring the possibility of public rejection, the whole thing will be signed, sealed and a new constitution delivered in 2009-10.",Leaders from Brussels and Berlin will make new guidelines in 2009-10. They aren't considering potential arguments.
"UK and Australian health agencies have released information about 240 cases of odd occurrences, including sleepwalking, amnesia and hallucinations among people taking the drug zolpidem.","In the UK and Australia, health groups reported that 240 individuals became unwell. They had taken the sleeping pill zolpidem. This led to them walking in their sleep, forgetting things, and seeing things that weren't there."
"While doctors say that zolpidem can offer much-needed relief for people with sleep disorders, they caution that these newly reported cases should prompt a closer look at its possible side effects.",Health experts recommend using zolpidem to help you sleep. They warn you to be careful because it can have some unwanted effects. This advice comes after some recent problems were reported.
"The newly reported cases in the UK and Australia add to a growing list of bizarre sleepwalking episodes linked to the drug in other countries, including reports of people sleep-driving while on the medication.",New stories from the UK and Australia show a connection between weird actions and a drug. People are walking and even driving while they're asleep after using it. These new things happening are unexpected reactions to the drug.
The drug is a benzodiazepine-like hypnotic that promotes deep sleep by interacting with brain receptors for a chemical called gamma-aminobutyric acid.,A pill you take to help you sleep changes how some areas in your brain work. These areas control a thing called gamma-aminobutyric acid.
"The product information for prescribers advises that psychiatric adverse effects, including hallucinations, sleepwalking and nightmares, are more likely in the elderly, and treatment should be stopped if they occur.","The guide that comes with the thing warns that it might make old people see things that aren't there, walk in their sleep, or have really bad dreams. If any of these issues happen, a medical expert should end the treatment."
Patient advocacy groups say they would like government health agencies and drug companies to take a closer look at the possible risks associated with sleep medicines.,Organizations help people who are ill. They make words easy to understand. They point out who is doing something.
"Millions of people have taken the drug without experiencing any strange side effects, points out Richard Millman at Brown Medical School, director of the Sleep Disorders Center of Lifespan Hospitals in Providence, Rhode Island, US.","Richard Millman has a job at a place where they teach doctors. He is in charge of a place where they study sleep. This place is part of hospitals that look after people for their whole lives. It's located in Providence, a city in Rhode Island, in the United States. He mentions that lots of people used the medicine and nothing strange happened to them."
"The Guardian has learned that the FSA will launch a series of 10-second television adverts in January telling shoppers how to follow a red, amber and green traffic light labelling system on the front of food packs, which is designed to tackle Britain's obesity epidemic.","A news company found out about short TV ads that will start showing in January. A group that cares about food being safe is making these ads. The ads will show people who buy things at the store how to understand nutrition labels. These labels use red, yellow, and green colors and are stuck on food wrappers. The goal is to talk about the problem of too many people being overweight in the UK."
"The industry is planning a major marketing campaign for a competing labelling system which avoids colour-coding in favour of information about the percentage of ""guideline daily amounts"" (GDAs) of fat, salt and sugar contained in their products.","The industry is getting ready for a big event to advertise their stuff. They are showing a new way to tell you what's in their products. This way, you can see how much fat, salt, and sugar is in them. It makes sure it's okay with what experts say you should have every day."
"Sources at the TV regulators are braced for a legal challenge from the industry and have described the lobbying efforts to block any new ad ban or colour-coded labelling as ""the most ferocious we've ever experienced"".",People who create TV guidelines believe TV businesses will resist new regulations. They claim these businesses work hard to prevent updates to commercials and caution messages.
"The FSA is understood to have briefed its ad agency, United, before Christmas, and will aim to air ads that are ""non-confrontational, humorous and factual"" as a counterweight to industry's efforts about the same time.","The Food Safety Group had a chat with United, the company that helps them make commercials. They had this talk before the big winter break. Their goal is to create ads that are amusing, truthful, and nice. These commercials will be different from what other food companies show during that time."
"Ehrlich's model shows that whilst most of these oscillations cancel each other out, some reinforce one another and become long-lived temperature variations.","Ehrlich's thought is that usually when it gets warmer or cooler, it's no big deal. But sometimes, these little temperature changes come together. They can make the weather stay different for a long time."
"For example, if sea ice begins to form because of a slight cooling, carbon dioxide that would otherwise have found its way into the atmosphere as part of the carbon cycle is locked into the ice.","When the sea gets really chilly, it turns to ice. This ice captures a gas that normally escapes into the atmosphere."
"One such cycle describes the way Earth's orbit gradually changes shape from a circle to a slight ellipse and back again roughly every 100,000 years.","Every 100,000 years, the path Earth takes around the sun switches from being round like a ball to more stretched out like an egg."
"However, Edwards believes the small changes in solar heating produced by Milankovitch cycles are then amplified by feedback mechanisms on Earth.",Edwards believes that the Earth can make the tiny heating changes caused by Milankovitch cycles even stronger.
